name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
Aston Martin DBX,5,Diesel,3982,8,5.0,Automatic,85.0,SUV,4.5,424444,424444,700.0,5000,542.0,6500,"https://res.cloudinary.com/unix-center/image/upload/c_limit,dpr_3.0,f_auto,fl_progressive,g_center,h_580,q_75,w_906/wqygm884ezbfaw9v7pjt.jpg",Aston Martin,2024,UK
Aston Martin Vantage,3,Petrol,3998,8,2.0,Manual,73.0,Convertible,3.5,110556,110556,675.0,5000,502.88,6000,https://www.gallery-aaldering.com/wp-content/uploads/2025/02/aston-martin-v12-vantage-roadster-74-2023.jpg,Aston Martin,2022,UK
Audi A4,23,Petrol,1998,4,5.0,Automatic,54.0,Sedan,4.5,47911,55522,320.0,4200,187.74,6000,https://www.leguideauto.ma/contents/cars/pictures/2021/12/large/DFEDH2dWSoHC14WhFbd0k5fvFigxdnyszAmGXLXd.webp,Audi ,2022,Germany
Audi A6,19,Petrol,1984,4,5.0,Automatic,73.0,Sedan,4.5,66656,73322,370.0,4500,241.3,6500,https://cdn-xy.drivek.com/eyJidWNrZXQiOiJkYXRhay1jZG4teHkiLCJrZXkiOiJjb25maWd1cmF0b3ItaW1ncy9jYXJzL2ZyL29yaWdpbmFsL0FVREkvQTYvNDI3MjZfQkVSTElORS00LVBPUlRFUy9hdWRpLWE2LXNlZGFuLWZyb250LXZpZXcuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMDI0LCJoZWlnaHQiOm51bGwsImZpdCI6ImNvdmVyIn19fQ==,Audi ,2022,Germany
Audi Q2,10,Petrol,1984,4,5.0,Automatic,55.0,SUV,4.5,38878,54322,320.0,4180,187.74,6000,https://archive.challenge.ma/wp-content/uploads/2021/06/Audi-Q2-1.jpg-1.jpg,Audi ,2022,Germany
Audi Q5,3,Petrol,1984,4,5.0,Manual,0.0,SUV,4.5,66556,72833,370.0,4300,245.59,6000,https://static.moniteurautomobile.be/imgcontrol/images_tmp/clients/moniteur/c680-d465/content/medias/images/news/43000/500/0/audiq5-10.jpg,Audi ,2023,Germany
Audi Q7,9,Petrol,2995,6,7.0,Automatic,0.0,SUV,4.5,91656,97867,500.0,4500,335.25,6400,"https://hips.hearstapps.com/hmg-prod/images/2025-audi-q7-102-66edd2912544c.jpg?crop=0.616xw:0.461xh;0.206xw,0.404xh&resize=1200:*",Audi ,2024,Germany
Audi RS Q8,9,Petrol,3998,8,5.0,Automatic,85.0,SUV,3.5,241111,241111,800.0,4500,591.39,6000,https://friendscarrental.com/frontend/image/audi-rs-q8-2022-1709630945608.webp,Audi ,2023,Germany
Audi RS7,4,Petrol,3996,6,4.0,Automatic,73.0,Coupe,4.5,248889,248889,800.0,4500,591.0,6250,https://cdn.motor1.com/images/mgl/7ZmbmJ/s1/audi-rs7-by-abt.jpg,Audi ,2022,Germany
Audi e-tron,7,Electric,0,0,5.0,Electric,0.0,Coupe,4.5,112222,132222,664.0,0,300.0,0,https://media.audifrance.fr/wp-content/uploads/2020/03/413252-2000x1499-1.jpg.webp,Audi ,2024,Germany
Audi e-tron GT,1,Electric,0,0,5.0,Electric,0.0,Coupe,4.5,64444,64444,630.0,0,522.99,0,https://img.20mn.fr/o5wYOah9Q4607oISvA3mWCk/1444x920_audi-e-tron-gt-2025-3-versions-jusqu-a-925-ch,Audi ,2022,Germany
BMW 2 Series,9,Diesel,1995,4,5.0,Automatic,51.0,Sedan,4.5,46111,49444,400.0,2500,187.74,4000,https://stimg.cardekho.com/images/carexteriorimages/930x620/BMW/2-Series/10577/1689667139509/front-left-side-47.jpg,BMW,2024,Germany
BMW 3 Series Gran Limousine,3,Petrol,1998,4,5.0,Automatic,59.0,Sedan,4.5,11567,11567,400.0,4400,254.79,5000,https://imgd.aeplcdn.com/1920x1080/n/cw/ec/139177/3-series-gran-limousine-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80&q=80,BMW,2022,Germany
BMW 3 Series Gran Limousine,43,Petrol,1998,4,5.0,Automatic,59.0,Sedan,4.5,52111,76556,400.0,4400,254.79,5000,https://imgd.aeplcdn.com/1920x1080/n/cw/ec/139177/3-series-gran-limousine-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80&q=80,BMW,2022,Germany
